trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,stim_confidence,panas_item_1,panas_valence_1,panas_rating_1,panas_item_2,panas_valence_2,panas_rating_2,panas_item_3,panas_valence_3,panas_rating_3,panas_item_4,panas_valence_4,panas_rating_4,panas_item_5,panas_valence_5,panas_rating_5,panas_item_6,panas_valence_6,panas_rating_6,subject_id,session,age,gender,date
0,1,baseline,baseline,0,1,26,1,8,left,right,1,1113.6753559112549,True,False,2000.0,250.0,98.40171790122986,5.376673221588135,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
1,1,baseline,baseline,1,1,26,1,8,left,right,2,666.2836074829102,False,False,2000.0,250.0,103.32817673683167,10.30313229560852,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
2,1,baseline,baseline,2,1,26,1,8,right,left,1,1299.177646636963,True,True,2000.0,250.0,108.88774728775024,15.862700700759888,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
3,1,baseline,baseline,3,1,26,1,8,right,left,1,684.0419769287109,True,True,2000.0,250.0,113.83345866203308,20.808411836624146,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
4,1,baseline,baseline,4,1,26,1,8,left,right,1,798.7160682678223,True,True,2000.0,250.0,118.89270877838135,25.86766219139099,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
5,1,baseline,baseline,5,1,26,1,8,right,left,1,670.9916591644287,True,True,2000.0,250.0,123.82442617416382,30.799379587173462,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
6,1,baseline,baseline,6,1,26,1,8,left,right,1,877.8736591339111,True,False,2000.0,250.0,128.96247959136963,35.93743300437927,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
7,1,baseline,baseline,7,1,26,1,8,left,right,1,1427.8831481933594,True,True,2000.0,250.0,134.65059328079224,41.62554693222046,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
8,1,baseline,baseline,8,1,26,1,8,right,left,1,1119.9467182159424,True,True,2000.0,250.0,140.03144025802612,47.006394147872925,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
9,1,baseline,baseline,9,1,26,1,8,right,left,1,668.6928272247314,True,False,2000.0,250.0,144.96039462089539,51.93534779548645,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
10,1,baseline,baseline,10,1,26,1,8,left,right,1,570.7359313964844,True,False,2000.0,250.0,149.79255628585815,56.76750993728638,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
11,1,baseline,baseline,11,1,26,1,8,right,left,2,432.28626251220703,False,True,2000.0,250.0,154.48599934577942,61.46095275878906,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
12,1,baseline,baseline,12,1,26,1,8,right,left,2,563.5604858398438,False,False,2000.0,250.0,159.30992579460144,66.28487920761108,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
13,1,baseline,baseline,13,1,26,1,8,right,left,1,985.9213829040527,True,True,2000.0,250.0,164.55685877799988,71.5318124294281,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
14,1,baseline,baseline,14,1,26,1,8,right,left,1,615.2114868164062,True,True,2000.0,250.0,169.43325018882751,76.40820360183716,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
15,1,baseline,baseline,15,1,26,1,8,right,left,1,653.34153175354,True,True,2000.0,250.0,174.34946727752686,81.32442045211792,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
16,1,baseline,baseline,16,1,26,1,8,right,left,1,480.47399520874023,True,True,2000.0,250.0,179.09091186523438,86.06586503982544,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
17,1,baseline,baseline,17,1,26,1,8,left,right,1,504.0309429168701,True,False,2000.0,250.0,183.8550615310669,90.83001494407654,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
18,1,baseline,baseline,18,1,26,1,8,right,left,1,763.8030052185059,True,True,2000.0,250.0,188.87929391860962,95.85424733161926,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
19,1,baseline,baseline,19,1,26,1,8,right,left,1,716.3572311401367,True,True,2000.0,250.0,193.85602736473083,100.83098077774048,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
20,1,baseline,baseline,20,1,26,1,8,right,left,1,801.0416030883789,True,False,2000.0,250.0,198.91759514808655,105.89254832267761,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
21,1,baseline,baseline,21,1,26,1,8,left,right,2,798.4187602996826,False,False,2000.0,250.0,203.97636580467224,110.9513189792633,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
22,1,baseline,baseline,22,1,26,1,8,right,left,1,499.33362007141113,True,True,2000.0,250.0,208.73700523376465,115.71195864677429,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
23,1,baseline,baseline,23,1,26,1,8,right,left,1,681.3056468963623,True,False,2000.0,250.0,213.67802143096924,120.6529757976532,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
24,1,baseline,baseline,24,1,26,1,8,left,right,1,564.3582344055176,True,True,2000.0,250.0,218.50419354438782,125.47914695739746,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
25,1,baseline,baseline,25,1,26,1,8,left,right,1,781.8145751953125,True,False,2000.0,250.0,223.5467073917389,130.52166080474854,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
26,1,baseline,baseline,0,2,29,1,8,right,left,1,563.6756420135498,False,False,2000.0,250.0,228.37098455429077,135.34593796730042,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
27,1,baseline,baseline,1,2,29,1,8,right,left,2,568.44162940979,True,True,2000.0,250.0,233.19991278648376,140.1748661994934,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
28,1,baseline,baseline,2,2,29,1,8,left,right,2,600.3425121307373,True,False,2000.0,250.0,238.0602719783783,145.03522562980652,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
29,1,baseline,baseline,3,2,29,1,8,left,right,2,533.4560871124268,True,False,2000.0,250.0,242.85410523414612,149.82905912399292,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
30,1,baseline,baseline,4,2,29,1,8,right,left,1,532.8125953674316,False,True,2000.0,250.0,247.64861845970154,154.62357187271118,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
31,1,baseline,baseline,5,2,29,1,8,left,right,1,500.5638599395752,False,True,2000.0,250.0,252.4094467163086,159.38440036773682,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
32,1,baseline,baseline,6,2,29,1,8,left,right,1,580.4786682128906,False,False,2000.0,250.0,257.25045824050903,164.22541213035583,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
33,1,baseline,baseline,7,2,29,1,8,right,left,1,534.8236560821533,False,True,2000.0,250.0,262.0463364124298,169.02128982543945,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
34,1,baseline,baseline,8,2,29,1,8,right,left,1,400.0546932220459,False,False,2000.0,250.0,266.7073254585266,173.68227982521057,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
35,1,baseline,baseline,9,2,29,1,8,right,left,1,451.5094757080078,False,False,2000.0,250.0,271.4191052913666,178.39405846595764,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
36,1,baseline,baseline,10,2,29,1,8,right,left,2,588.508129119873,True,True,2000.0,250.0,276.2687566280365,183.24371004104614,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
37,1,baseline,baseline,11,2,29,1,8,right,left,2,515.0096416473389,True,True,2000.0,250.0,281.04491567611694,188.0198690891266,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
38,1,baseline,baseline,12,2,29,1,8,right,left,2,595.6377983093262,True,True,2000.0,250.0,285.9013156890869,192.87626934051514,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
39,1,baseline,baseline,13,2,29,1,8,left,right,2,416.69154167175293,True,True,2000.0,250.0,290.5784242153168,197.55337810516357,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
40,1,baseline,baseline,14,2,29,1,8,right,left,2,487.1835708618164,True,False,2000.0,250.0,295.3258035182953,202.30075693130493,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
41,1,baseline,baseline,15,2,29,1,8,left,right,2,418.13135147094727,True,False,2000.0,250.0,300.00445914268494,206.979412317276,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
42,1,baseline,baseline,16,2,29,1,8,right,left,2,364.83073234558105,True,True,2000.0,250.0,304.63014793395996,211.60510158538818,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
43,1,baseline,baseline,17,2,29,1,8,right,left,2,597.1622467041016,True,True,2000.0,250.0,309.4877071380615,216.46266055107117,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
44,1,baseline,baseline,18,2,29,1,8,right,left,2,787.7213954925537,True,False,2000.0,250.0,314.5359003543854,221.51085352897644,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
45,1,baseline,baseline,19,2,29,1,8,left,right,2,547.1246242523193,True,False,2000.0,250.0,319.3431258201599,226.3180797100067,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
46,1,baseline,baseline,20,2,29,1,8,left,right,2,723.9153385162354,True,True,2000.0,250.0,324.32664489746094,231.30159831047058,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
47,1,baseline,baseline,21,2,29,1,8,left,right,2,414.72339630126953,True,True,2000.0,250.0,329.0013236999512,235.97627687454224,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
48,1,baseline,baseline,22,2,29,1,8,right,left,2,621.2570667266846,True,True,2000.0,250.0,333.8831732273102,240.85812711715698,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
49,1,baseline,baseline,23,2,29,1,8,right,left,2,848.7422466278076,True,True,2000.0,250.0,338.9917223453522,245.9666759967804,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
50,1,baseline,baseline,24,2,29,1,8,right,left,2,816.9832229614258,True,True,2000.0,250.0,344.06886291503906,251.0438163280487,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
51,1,baseline,baseline,25,2,29,1,8,left,right,2,532.2737693786621,True,True,2000.0,250.0,348.8614673614502,255.83642101287842,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
52,1,baseline,baseline,26,2,29,1,8,right,left,2,607.3482036590576,True,False,2000.0,250.0,353.7292981147766,260.7042751312256,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
53,1,baseline,baseline,27,2,29,1,8,right,left,2,1015.7339572906494,True,True,2000.0,250.0,359.0061180591583,265.98107147216797,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
54,1,baseline,baseline,28,2,29,1,8,right,left,2,755.9373378753662,True,True,2000.0,250.0,364.0231387615204,270.99809217453003,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
55,1,baseline,baseline,0,1,25,1,8,right,left,2,637.4552249908447,False,True,2000.0,250.0,368.92191457748413,275.8968679904938,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
56,1,baseline,baseline,1,1,25,1,8,right,left,2,471.3456630706787,False,False,2000.0,250.0,373.65459632873535,280.6295499801636,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
57,1,baseline,baseline,2,1,25,1,8,right,left,2,388.1545066833496,False,True,2000.0,250.0,378.30370354652405,285.27865719795227,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
58,1,baseline,baseline,3,1,25,1,8,left,right,2,416.3703918457031,False,False,2000.0,250.0,382.9814124107361,289.9563663005829,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
59,1,baseline,baseline,4,1,25,1,8,left,right,2,604.8674583435059,False,False,2000.0,250.0,387.84731554985046,294.82226943969727,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
60,1,baseline,baseline,5,1,25,1,8,right,left,2,567.7652359008789,False,False,2000.0,250.0,392.67558217048645,299.6505410671234,no,7,Proud,positive,2,Nervous,negative,3,Interested,positive,1,Guilty,negative,1,Determined,positive,1,Distressed,negative,1,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
